@lat	@lon	name	addr:city	addr:district
41.0199922	28.9348553	Bezmialem Vakıf Üniversitesi Tıp Fakültesi Acil Tıp		
41.0375948	28.9900446	Şişli Hamidiye Etfal Eğitim ve Araştırma Hastanesi Gümüşsuyu Binası	İstanbul	Beyoğlu
40.9973977	29.0428574	Hasanpaşa Aile Sağlığı Merkezi	İstanbul	Kadiköy
40.9785089	28.8718638	Bakırköy 4 Nolu Aile Sağlığı Merkezi	İstanbul	Bakırköy
40.7121764	29.9289516	Başiskele Semt Polikliniği	Başiskele	
40.9332716	29.1239632	Kartal Dr. Lütfi Kırdar Eğitim ve Araştırma Hastanesi KADİR REZZAN HAS ADATEPE POLİKLİNİĞİ		
41.0229665	29.2185310	fsm tıp merkezi		
38.4407390	27.1727482	Çınarlı Kadın Doğum Hastanesi		
39.1988306	35.0047224	Yenifakılı Devlet Hastanesi		
40.9826508	29.0927519	Medient	İstanbul	Kadıköy
38.3588600	34.0406494	İnova Hastanesi		
41.0203306	28.5786177	Büyükçekmece Aile Sağlığı Merkezi		
36.7529615	34.5361500	City Hospital		
37.0388733	35.8154688	Ceyhan Çocuk Hastanesi		
36.2358420	36.1697494	Özel Antakya Akademi Hastanesi		
36.4798018	36.3554816	Özel Can Hastanesi		
36.5963037	30.5490564	Özel Dentkemer Ağız ve Diş Sağlığı Polikliniği	Antalya	Kemer
36.5514414	31.9781673	Alara medical plaza	Alanya/Antalya	
41.0168104	28.6041953	Sağlık Ocağı		
41.0221279	29.0418888	Bahceci		
41.0168625	28.9339596	İstanbul Üniversitesi Tıp Fakültesi Hastanesi	İstanbul	Fatih
41.0242924	28.9743145	Özel Avusturya Sen Jorj Hastanesi	İstanbul	Beyoğlu
39.9306877	32.8624088	Hacettepe Üniversitesi Hastaneleri		
41.6338147	28.0908585	Vize 3 No'lu Acil Sağlık Hizmetleri İstasyonu	Kırklareli	Kıyıköy
41.0133418	28.6568742	Medihaus		
40.7789996	30.3981390	Marmara Göz Hastanesi		
40.7664244	29.9659599	ÖZEL DENGE TIP MERKEZİ		
40.7685976	29.9519017	Mehmet Ali Paşa Aile Sağlığı Merkezi		
40.9410585	29.1167634	Maltepe 4 Nolu Aile Hekimliği		
37.7779559	29.0567611	Denipol Hastanesi		
40.9226879	29.1338782	ARES Psikolojik Danışmanlık Merkezi	İstanbul	Maltepe
36.9069604	30.6863729	Çallı Meydan Tıp Merkezi		
41.3347351	27.9807384	Hürriyet Aile Sağlığı Merkezi		
39.6282828	26.9856043	Ortaoba Köyü Sağlık Evi		
39.5775418	26.6780777	Edremit Narlı Sağlık Evi		
37.0332540	27.4395875	Bodrum Tıp	Muğla	Bodrum
41.3735147	27.1468178	Alpullu Aile Sağlığı Merkezi		
41.0738730	28.9038241	Özel Asya Hastanesi	İstanbul	Gaziosmanpaşa
41.0695422	28.9073845	Özel Bilge Hastanesi	İstanbul	Gaziosmanpaşa
41.0596967	28.9123842	Avrupa Özel Şafak Hastanesi	İstanbul	Gaziosmanpaşa
40.9804944	29.1255715	Küçükbakkalköy Aile Sağlığı Merkezi		
41.1562495	27.8167942	Özel Dünyagöz Tıp Merkezi		
41.1559947	27.8182902	Dünyagöz Acil Emergency		
41.1561191	27.8184342	Vega Hospital		
41.1506804	27.8298725	Optimed International Çorlu Hastanesi		
37.3665258	29.5534727	Yazır Aile Sağlığı Merkezi	Denizli	Acıpayam
37.0532646	35.2544365	Özel Medline Hastanesi	Adana	Çukurova
41.4001530	27.3644330	Özel Lüleburgaz Tıp Merkezi	Lüleburgaz	Lüleburgaz
41.0025741	28.6261789	NGY Med Dental Clinic	İstanbul	Beylikdüzü
38.3981513	27.0953477	Metropol Tıp Merkezi		
40.6892211	30.2568951	Sapanca İlçe Hastanesi		
39.9629747	32.8294212	Kadın Doğum Hastanesi		
39.9658986	32.8314799	Ortopedi ve Nöroloji Hastanesi		
39.9671983	32.8306779	"Göğüs, Kalp ve Damar Hastalıkları Hastanesi"		
39.9638523	32.8324801	Genel Hastane		
39.9616560	32.8302516	Onkoloji Hastanesi		
39.9640568	32.8290487	Kadın Doğum Ve Çocuk Acil		
39.9656233	32.8290858	Çocuk Hemodiyaliz		
40.2327279	28.9801761	Özel PembeMavi Hastanesi		
41.2860523	27.9967343	Gaziosmanpaşa Sile Sağlığı Merkezi		
40.5329474	41.5449439	Uzundere Şehit İhsan Erdoğan İlçe Entegte Devlet Hastanesi		
39.9641333	32.8321434	Hemodiyaliz		
39.9597723	32.8267915	Tıbbi Gözlem Kliniği		
39.9649757	32.8284088	Çocuk Hastanesi		
39.9612455	32.8239916	Psikiyatri Kliniği		
37.8497511	27.8373463	Fizik		
38.7033593	35.5236732	Polyclinics Entrance		
38.3901179	35.4892961	Eras Sağlık Kabini	kayseri	develi
41.0276144	29.1157001	Üsküdar Üniversitesi Diş Hastanesi		
41.0681352	28.9936561	Estepalace Clinic	İstanbul	Şişli
37.0680677	37.3849493			
38.5958356	38.1798511	Yazıhan Ilce Hastanesi		Malatya
37.0197496	35.3187385	Cukurova Devlet Hastanesi		Adana
38.3041371	38.2494164	Yesilyurt Hasan Calık Devlet Hastanesi		Malatya
37.0273983	35.4017223	Ozel Batıkent Hastanesi		Adana
37.0045597	35.3627774	Baskent Universitesi Hastanesi		Adana
37.0787045	37.3666129	Dunyagoz Hastanesi		Gaziantep
40.9823877	29.0713318	Özel Medipoint Tıp Merkezi	İstanbul	Kadıköy
37.0161887	35.3204696	Özel Nobel Toros Hastanesi		Adana
38.5671284	37.4889028	Darende Devlet Hastanesi		Malatya
37.0570115	37.3773149	Tam Med Ozel Hastanesi		Gaziantep
36.0870230	35.9826104	Samandag Devlet Hastanesi		Hatay
37.0079517	35.3236869	Baskent Universitesi Seyhan Hastanesi		Adana
38.7256800	35.4812179	System Hospital		
37.0215715	35.3187597	Prof Dr Nusret Karasu Goğus Hastalıkları Hastanesi		Adana
37.0196232	35.3218321	Adana Numune Egitim ve Arastırma Hastanesi		Adana
37.0588123	37.3155033	Avukat Cengiz Gokcek Devlet Hastanesi		Gaziantep
38.3477331	38.3047815	Gozde Hastanesi		Malatya
38.2369940	36.8958664	Devlet Hastanesi		Kahramanmaraş
37.0502890	35.2637289	Dr Ekrem Tok Ruh Saglıgı Hastalıkları Hastanesi		Adana
37.0696715	36.2460919	Osmaniye Ozel Sevgi Hastanesi		Osmaniye
36.4980196	36.3474123	Kırıkhan Devlet Hastanesi		Hatay
38.3492460	38.3216898	Ozel EGM Hayat Hastanesi		Malatya
38.3516230	38.3002107	Mavi Nokta Hastanesi		Malatya
37.5780606	36.9314928	Yenisehir Devlet Hastanesi		Kahramanmaraş
37.7815884	38.2931484	Adıyaman Dogum ve Cocuk Bakımevi Hastanesi		Adıyaman
37.0563328	35.3621447	Çukurova Üniversitesi Tıp Fakültesi Balcalı Hastanesi		Adana
37.5924570	36.9251437	Kahramanmaras Devlet Hastanesi		Kahramanmaraş
37.1551200	38.8045306	Ozel Nev Hastanesi		Şanlıurfa
